"ADDRESSID","PATID","ADDRESS_STREET","ADDRESS_DETAIL","ADDRESS_CITY","ADDRESS_STATE","ADDRESS_ZIP5","ADDRESS_TYPE","ADDRESS_PREFERRED","ADDRESS_PERIOD_END","ADDRESS_PERIOD_START","ADDRESS_USE","ADDRESS_ZIP9","RAW_ADDRESS_TEXT"
"8774","50031","256 Stanley Ports Suite 737","","Stevenport","MD","35925","PH","UN","","","HO","",""
"8774","50031","482 Clark Dale Suite 145","","Markberg","MD","70040","PH","UN","","","HO","",""
"8774","50031","8885 Sara Fort Apt. 515","","North Richard","MD","27052","PH","UN","","","HO","",""
"8774","50031","600 Stacey Park Apt. 534","","Parkshaven","MD","23778","PH","UN","","","HO","",""
"8775","59094","91490 Susan Mountain Apt. 783","","Millershire","MD","54973","PH","UN","","","HO","",""
"18872","46297","4338 Guerrero Springs","","Jamiemouth","MD","03673","PH","UN","","","HO","",""
"8776","58697","221 Brittany Stream","","East Dean","MD","82629","PH","UN","","","HO","",""
"8776","58697","4318 Shah Lakes","","North Mike","MD","68179","PH","UN","","","HO","",""
"18873","51648","4213 Fleming Corners Suite 841","","Grantland","MD","26021","PH","UN","","","HO","",""
"8777","54910","7628 Victoria Radial","","South Melissa","MD","87816","PH","UN","","","HO","",""
"8777","54910","15132 Hensley Ways Apt. 389","","Rebeccaberg","MD","10814","PH","UN","","","HO","",""
"8778","56167","1885 John Plaza","","Anthonyport","MD","79629","PH","UN","","","HO","",""
"8779","63341","0556 Baker Valleys","","South Ryan","MD","44557","PH","UN","","","HO","",""
"8779","63341","42500 Rivera Islands","","Larrymouth","MD","31864","PH","UN","","","HO","",""
"8779","63341","74227 Theresa Mountains","","Port Julieville","MD","72368","PH","UN","","","HO","",""
"18874","48334","3797 Anderson Club Apt. 080","","Snyderchester","MD","22079","PH","UN","","","HO","",""
"18874","48334","589 Chad Field","","Davisport","MD","13714","PH","UN","","","HO","",""
"18874","48334","123 Lawrence Mission","","Port Anthonymouth","MD","88757","PH","UN","","","HO","",""
"18875","49828","3925 Kimberly Crescent","","Garciaside","MD","49476","PH","UN","","","HO","",""
"18876","33484","715 Carolyn Causeway Apt. 071","","Mistymouth","MD","56455","PH","UN","","","HO","",""
"18876","33484","5819 Michael Pines Apt. 228","","Lake Deborahchester","MD","36170","PH","UN","","","HO","",""
"8780","22201","098 Kelly Coves Suite 355","","Ramosmouth","MD","60951","PH","UN","","","HO","",""
"8780","22201","5326 Jonathan Green Suite 107","","Shepardshire","MD","12407","PH","UN","","","HO","",""
"8780","51918","04376 Brian Well Apt. 268","","Lake Jessica","MD","39461","PH","UN","","","HO","",""
"18877","52840","543 Webb Route","","Sharonside","MD","49399","PH","UN","","","HO","",""
"18878","53371","81562 Cain Estate Apt. 013","","Amyberg","MD","46619","PH","UN","","","HO","",""
"18879","53556","024 Crystal Lock","","South Garrett","MD","40780","PH","UN","","","HO","",""
"18880","53635","497 Gabriel Divide Suite 237","","Lake Sandrachester","MD","93741","PH","UN","","","HO","",""
"18881","52419","12423 George Way Suite 761","","Sheltonberg","MD","65553","PH","UN","","","HO","",""
"18882","53945","3181 Acosta Knolls Apt. 971","","Jacobsonmouth","MD","49438","PH","UN","","","HO","",""
"18883","52668","07680 Zachary Manors","","Port Guy","MD","19352","PH","UN","","","HO","",""
"8781","57561","1362 Anthony Tunnel Suite 193","","Woodwardland","MD","37148","PH","UN","","","HO","",""
"18884","53414","38074 Kline Burgs Suite 548","","South Blakemouth","MD","38818","PH","UN","","","HO","",""
"18885","53333","55763 Ramos Throughway Suite 721","","East James","MD","05660","PH","UN","","","HO","",""
"18886","53965","9831 Mendez Knoll Apt. 791","","East Curtis","MD","36106","PH","UN","","","HO","",""
"18887","52097","7229 Norris Forges Apt. 702","","Cannonmouth","MD","09636","PH","UN","","","HO","",""
"18888","52999","77972 Hernandez Parkway","","East Taylorside","MD","19172","PH","UN","","","HO","",""
"18889","53000","259 Ramirez Views","","West Davidview","MD","82643","PH","UN","","","HO","",""
"18890","52876","51318 Lauren Spring Suite 295","","Lake Robertton","MD","31086","PH","UN","","","HO","",""
"8782","50023","320 Harvey Row","","East David","MD","90587","PH","UN","","","HO","",""
"8782","50023","91735 Haley Throughway Apt. 666","","Troyburgh","MD","86493","PH","UN","","","HO","",""
"8782","50023","4190 Brown Forks","","Shannonville","MD","42465","PH","UN","","","HO","",""
"8782","50023","474 Pamela Key Suite 472","","Lake Justin","MD","96547","PH","UN","","","HO","",""
"18891","52670","045 Joseph Locks Apt. 597","","Bradleyfort","MD","40757","PH","UN","","","HO","",""
"18892","53688","34993 Jason Bridge Apt. 752","","Sierrashire","MD","23235","PH","UN","","","HO","",""
"18893","53660","3965 Amanda Roads Apt. 503","","West Wendy","MD","74775","PH","UN","","","HO","",""
"18894","52868","23491 Bush Square","","Howardfort","MD","98541","PH","UN","","","HO","",""
"18895","53631","569 Dana Route","","Sarahstad","MD","88276","PH","UN","","","HO","",""
"8783","59154","269 Kathy Stravenue","","Johnfort","MD","63174","PH","UN","","","HO","",""
"8783","59154","5763 Bennett Station","","South Jenniferburgh","MD","78952","PH","UN","","","HO","",""
"8783","59154","3742 Linda Greens Suite 077","","Medinaton","MD","96064","PH","UN","","","HO","",""
"8784","52247","42747 Arnold Flats","","Wrightshire","MD","55316","PH","UN","","","HO","",""
"8784","52247","71629 Montoya Crossroad","","South Williamstad","MD","68167","PH","UN","","","HO","",""
"8785","67029","99576 Bell Curve Suite 569","","West Christopherland","MD","46523","PH","UN","","","HO","",""
"8785","52246","541 Turner Road","","Veronicabury","MD","77741","PH","UN","","","HO","",""
"8785","52246","22349 Cynthia Corner Suite 646","","Katrinaberg","MD","36393","PH","UN","","","HO","",""
"18896","35198","2918 Hanson Ridge Apt. 258","","North Normahaven","MD","95789","PH","UN","","","HO","",""
"18896","35199","667 Sheila Valley Apt. 862","","North Brian","MD","40531","PH","UN","","","HO","",""
"18896","35199","9090 Leah Field","","Lake Jochester","MD","39376","PH","UN","","","HO","",""
"8786","53129","03409 Price Spring Apt. 980","","North Virginia","MD","07892","PH","UN","","","HO","",""
"8786","53129","575 Kristin Unions","","Lake Patricia","MD","51458","PH","UN","","","HO","",""
"8786","53129","910 Suzanne Fork Apt. 133","","South Seth","MD","00658","PH","UN","","","HO","",""
"8787","54520","437 Wilcox Flats Apt. 162","","Robertsview","MD","66412","PH","UN","","","HO","",""
"8787","54520","681 Jamie Fork Suite 604","","South Anne","MD","41073","PH","UN","","","HO","",""
"8787","54520","0940 Angel Glens Apt. 277","","New Sandra","MD","62040","PH","UN","","","HO","",""
"8787","54520","07864 Gibson Fields","","South Colton","MD","95290","PH","UN","","","HO","",""
"8788","54014","450 Wilson Dam Suite 302","","South Christine","MD","78938","PH","UN","","","HO","",""
"8788","54014","7733 Gregory Mountain","","Kristenstad","MD","33771","PH","UN","","","HO","",""
"8789","52577","290 Daniel Fork Apt. 096","","Laurachester","MD","62545","PH","UN","","","HO","",""
"8789","52577","259 Wood Forks Suite 622","","Brianchester","MD","90060","PH","UN","","","HO","",""
"8790","53645","432 Brandon Vista","","North Nicholas","MD","72493","PH","UN","","","HO","",""
"8790","53645","45608 Jill Cove","","Port John","MD","06710","PH","UN","","","HO","",""
"8791","52249","917 Nathan Corner Suite 461","","West Daniel","MD","11696","PH","UN","","","HO","",""
"8791","52249","967 Abigail Alley Apt. 131","","Josephland","MD","83290","PH","UN","","","HO","",""
